Latitude,Longitude,Area,Neighborhood,Location
41.882829,-87.75173,175,Austin,West
41.882249,-87.722187,140,"East Garfield Park, Humboldt Park, North Lawndale, West Garfield Park",West
41.745801,-87.608764,109,"Avalon Park, Burnside, Calumet Heights, Chatham, Greater Grand Crossing, Roseland, South Shore",South
41.87337,-87.650714,96,"Loop, Near West Side, Near South Side",Central
41.847598,-87.727112,93,"North Lawndale, South Lawndale",West
41.686481,-87.62851,91,"Pullman, Roseland, Washington Heights, West Pullman",South
41.78051,-87.603826,90,"Greater Grand Crossing, Hyde Park, South Shore, Washington Park, Woodlawn",South
41.747014,-87.667977,87,"Auburn Gresham, Beverly, Chatham, Greater Grand Crossing, Roseland, Washington Heights",South
41.902483,-87.741884,81,"Austin, Humboldt Park",West
41.806277,-87.648247,76,"Armour Square, Bridgeport, Douglas, Fuller Park, Gage Park, Grand Boulevard, McKinley Park, New City, Washington Park",South
41.724654,-87.549474,76,"Avalon Park, Calumet Heights, East Side, South Chicago, South Deering",South
41.881661,-87.692626,72,"Near West Side, West Town",West
41.820267,-87.603826,72,"Douglas, Grand Boulevard, Kenwood, Oakland",South
41.849212,-87.67132,70,"Bridgeport, Lower West Side (Pilsen), McKinley Park, Near West Side, North Lawndale, South Lawndale",South
41.677378,-87.653802,67,"Beverly, Morgan Park, Washington Heights, West Pullman",South
41.947206,-87.746807,66,"Avondale, Belmont Cragin, Hermosa, Irving Park, Portage Park",North
41.759792,-87.564304,65,South Shore,South
41.771982,-87.672907,63,"Chicago Lawn, Gage Park, West Englewood",South
41.77138,-87.643314,61,"Englewood, Greater Grand Crossing, Washington Park",South
41.946428,-87.707409,58,"Avondale, Irving Park, North Center",North
41.922514,-87.75173,50,"Austin, Belmont Cragin, Hermosa, Humboldt Park, Logan Square",West
41.800392,-87.603826,43,"Grand Boulevard, Hyde Park, Kenwood, Washington Park",South
41.84034,-87.613701,43,"Armour Square, Bridgeport, Douglas,Lower West Side (Pilsen), Near South Side",South
41.772771,-87.712335,41,"Chicago Lawn, Clearing, Gage Park, Garfield Ridge, West Elsdon, West Lawn",South
41.921542,-87.702482,37,"Hermosa, Humboldt Park, Logan Square, West Town",West
41.807469,-87.707409,32,"Archer Heights, Brighton Park, Gage Park, Garfield Ridge, West Elsdon",South
41.947969,-87.786171,28,"Belmont Cragin, Dunning, Montclare, Portage Park",North
42.010529,-87.692626,24,West Ridge,North
41.920347,-87.643314,14,"Lincoln Park, Logan Square",North
42.009932,-87.663045,14,Rogers Park,North
41.990126,-87.663045,14,Edgewater,North
41.970313,-87.663045,13,"Edgewater, Lincoln Square, Uptown",North
41.901309,-87.682768,12,"Humboldt Park, Logan Square, Near North Side, West Town",West
41.788748,-87.766493,12,"Clearing, Garfield Ridge",South
41.971107,-87.702482,11,"Albany Park, Lincoln Square, North Park",North
41.957776,-87.655647,10,"Lakeview, North Center, Uptown",North
41.742928,-87.712335,10,Ashburn,South
41.94038,-87.65318,10,"Lakeview, North Center",North
41.883993,-87.619706,9,Loop,Central
41.90031,-87.633387,9,"Near North Side, Near West Side",Central
41.972079,-87.75173,9,"Albany Park, Forest Glen, Irving Park, Jefferson Park, Portage Park",North
41.660236,-87.564304,9,"Hegewisch, South Deering",South
41.878485,-87.627893,8,Loop,Central
41.90071,-87.65318,8,Beverly,West
41.870331,-87.623574,7,"Loop, Near South Side",Central
41.992084,-87.761573,6,"Forest Glen, Jefferson Park, North Park, Norwood Park",North
41.99092,-87.702482,5,"North Park, West Ridge",North
41.883473,-87.629127,4,Loop,Central
41.892509,-87.61617,4,Near North Side,Central
41.993029,-87.810756,4,"Edison Park, Norwood Park",North
41.6653987,-87.5993448,3,Riverdale Chicago,South
41.975552,-87.803382,2,O'Hare,North
41.881928,-87.644547,2,"Loop, Near West Side",Central
41.88,-87.64,2,Near West Side,Central
41.881777,-87.637146,1,"Loop, Near West Side",Central
41.693154,-87.712335,1,"Beverly, Morgan Park, Mount Greenwood",South
